userID	bookmarkID	tagID	timestamp
8	1	1	1289255362000
8	2	1	1289255159000
8	7	1	1289238901000
8	7	6	1289238901000
8	7	7	1289238901000
8	8	1	1289238545000
8	8	8	1289238545000
8	8	9	1289238545000
8	9	1	1289237833000
8	9	10	1289237833000
8	10	1	1289237730000
8	10	11	1289237730000
8	11	1	1289237522000
8	11	12	1289237522000
8	11	13	1289237522000
8	14	1	1289236740000
8	14	15	1289236740000
8	14	16	1289236740000
8	14	17	1289236740000
8	14	18	1289236740000
8	15	1	1289236319000
8	15	19	1289236319000
8	16	1	1289231754000
8	16	5	1289231754000
8	17	1	1289231615000
8	17	20	1289231615000
8	18	1	1289231533000
8	18	21	1289231533000
8	19	1	1289231262000
8	19	22	1289231262000
8	20	1	1289231212000
8	20	23	1289231212000
8	22	1	1289230744000
8	22	10	1289230744000
8	22	25	1289230744000
8	24	1	1289229826000
8	24	27	1289229826000
8	25	1	1289229561000
8	25	28	1289229561000
8	26	1	1289228999000
8	26	29	1289228999000
8	27	1	1289227893000
8	27	30	1289227893000
8	30	1	1289183525000
8	30	33	1289183525000
8	32	1	1289183292000
8	32	35	1289183292000
8	33	1	1289183129000
8	33	36	1289183129000
8	34	1	1289183011000
8	34	37	1289183011000
8	35	1	1289182931000
8	35	38	1289182931000
8	36	1	1289182797000
8	36	39	1289182797000
8	37	1	1289182702000
8	37	40	1289182702000
8	38	1	1289182632000
8	38	41	1289182632000
8	41	43	1289153999000
8	42	43	1289152872000
8	43	44	1289152789000
8	44	45	1289087716000
8	45	46	1289086944000
8	46	47	1289086859000
8	48	49	1289086553000
8	48	50	1289086553000
8	48	51	1289086553000
8	48	52	1289086553000
8	52	57	1288904866000
8	53	51	1288896397000
8	53	58	1288896397000
8	53	59	1288896397000
8	53	60	1288896397000
8	53	61	1288896397000
8	58	2	1288882706000
8	58	66	1288882706000
8	59	56	1288882469000
8	60	2	1288882432000
8	60	67	1288882432000
8	61	1	1288882374000
8	61	68	1288882374000
8	62	69	1288882262000
8	63	70	1288882203000
8	64	71	1288879685000
8	65	71	1288879640000
8	68	45	1288630690000
8	68	76	1288630690000
8	68	77	1288630690000
8	71	44	1288466583000
8	72	45	1288466318000
8	72	79	1288466318000
8	73	24	1288466059000
8	73	56	1288466059000
8	73	80	1288466059000
8	74	24	1288465963000
8	74	81	1288465963000
8	74	82	1288465963000
8	74	83	1288465963000
8	75	45	1288439177000
8	75	76	1288439177000
8	75	84	1288439177000
8	76	45	1288403733000
8	76	76	1288403733000
8	78	45	1288400590000
8	78	76	1288400590000
8	78	86	1288400590000
8	78	87	1288400590000
8	79	45	1288399242000
8	79	88	1288399242000
8	79	89	1288399242000
8	79	90	1288399242000
8	79	91	1288399242000
8	79	92	1288399242000
8	79	93	1288399242000
8	80	45	1288398907000
8	80	88	1288398907000
8	80	94	1288398907000
8	80	95	1288398907000
8	81	96	1288397340000
8	81	97	1288397340000
8	82	68	1288397158000
8	82	98	1288397158000
8	82	99	1288397158000
8	82	100	1288397158000
8	83	2	1288397039000
8	83	101	1288397039000
8	83	102	1288397039000
8	84	2	1288396895000
8	84	103	1288396895000
8	85	104	1288388235000
8	85	105	1288388235000
8	87	2	1288387535000
8	87	25	1288387535000
8	87	82	1288387535000
8	87	108	1288387535000
8	88	2	1288387282000
8	88	25	1288387282000
8	88	66	1288387282000
8	88	82	1288387282000
8	88	106	1288387282000
8	89	82	1288373335000
8	89	109	1288373335000
8	90	24	1288372199000
8	91	24	1288372143000
8	92	24	1288372035000
8	93	24	1288371236000
8	93	25	1288371236000
8	93	66	1288371236000
8	94	2	1288371166000
8	96	111	1288368924000
8	98	112	1288291828000
8	99	113	1288291694000
32	103	119	1285500227000
32	103	120	1285500227000
32	103	121	1285500227000
32	103	122	1285500227000
32	103	123	1285500227000
32	103	124	1285500227000
32	105	126	1284640114000
32	105	127	1284640114000
32	106	101	1284518274000
32	106	127	1284518274000
32	106	128	1284518274000
32	108	130	1283166077000
32	109	131	1282736740000
32	111	115	1282489620000
32	111	117	1282489620000
32	111	135	1282489620000
32	111	136	1282489620000
32	111	137	1282489620000
32	112	115	1282312142000
32	112	117	1282312142000
32	112	132	1282312142000
32	112	138	1282312142000
32	113	115	1282291068000
32	113	117	1282291068000
32	113	139	1282291068000
57	119	145	1289240024000
57	119	146	1289240024000
57	120	147	1289239497000
57	124	148	1289209447000
57	125	122	1289199351000
57	125	149	1289199351000
57	125	150	1289199351000
57	126	151	1289154448000
57	127	140	1289153389000
57	129	140	1289057843000
57	133	140	1289048524000
57	135	141	1289046564000
57	135	142	1289046564000
57	136	140	1289033364000
57	138	150	1289031413000
57	138	155	1289031413000
57	138	156	1289031413000
57	139	140	1289030102000
57	139	143	1289030102000
57	140	143	1289030025000
57	140	149	1289030025000
57	149	147	1288981626000
57	153	147	1288956059000
57	155	157	1288940927000
57	155	158	1288940927000
57	156	159	1288937669000
57	157	160	1288894521000
57	157	161	1288894521000
57	163	140	1288893419000
57	164	140	1288893309000
57	166	146	1288886157000
57	166	153	1288886157000
57	167	162	1288877686000
57	167	163	1288877686000
57	168	16	1288877491000
57	168	164	1288877491000
57	169	140	1288871762000
57	170	152	1288850000000
57	170	165	1288850000000
57	175	166	1288809528000
57	177	147	1288806202000
57	182	156	1288795575000
57	183	156	1288795396000
57	183	168	1288795396000
57	184	156	1288795324000
57	184	168	1288795324000
57	184	169	1288795324000
57	189	97	1288719497000
57	189	170	1288719497000
57	191	147	1288633913000
57	192	140	1288615638000
57	192	171	1288615638000
57	197	140	1288446780000
57	197	171	1288446780000
57	205	140	1288346170000
57	206	153	1288285284000
57	210	140	1288271062000
57	211	141	1288267939000
57	211	142	1288267939000
57	211	144	1288267939000
147	212	78	1289310758000
147	212	158	1289310758000
147	212	173	1289310758000
147	212	174	1289310758000
147	212	175	1289310758000
147	212	176	1289310758000
147	212	177	1289310758000
147	213	178	1289307073000
147	213	179	1289307073000
147	213	180	1289307073000
147	215	76	1289306875000
147	215	183	1289306875000
147	215	184	1289306875000
147	215	185	1289306875000
147	215	186	1289306875000
147	215	187	1289306875000
